2026-09-11T14:45:13.280948Z	info	Debug server is disabled you can enable it using --enable-debug-server flag
2026-09-11T14:45:13.280965Z	info	Metrics server is disabled you can enable it using --enable-metrics-server flag
2026-09-11T14:45:13.282954Z	info	Chain is not yet in sync	{"chain_name": "peer", "chain_id": "vota-inflight-peer-1", "latest_queried_block": 1221, "latest_height": 1241}
2026-09-11T14:45:13.283587Z	info	Chain is not yet in sync	{"chain_name": "snapshot", "chain_id": "vota-inflight-rehearsal-20260911", "latest_queried_block": 17250379, "latest_height": 17250399}
2026-09-11T14:45:14.283428Z	info	Chain is in sync	{"chain_name": "peer", "chain_id": "vota-inflight-peer-1"}
2026-09-11T14:45:14.283856Z	info	Chain is in sync	{"chain_name": "snapshot", "chain_id": "vota-inflight-rehearsal-20260911"}
2026-09-11T14:45:15.941779Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-peer-1", "packet_src_channel": "channel-18", "packet_dst_channel": "channel-0", "gas_used": 237815, "fees": "3265570000000000peaka", "fee_payer": "dora1hdzrazpjr77t54mktypmersfmt0sa4gymtnnlc", "height": 1243, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgRecvPacket", "/ibc.core.channel.v1.MsgRecvPacket"], "tx_hash": "C6B97AC6BF405EACDCB14825F036F1C48DD1443E0A61F06991E0CBE4CAF7200D"}
2026-09-11T14:45:19.074863Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-rehearsal-20260911", "packet_src_channel": "channel-0", "packet_dst_channel": "channel-18", "gas_used": 272889, "fees": "3791680000000000peaka", "fee_payer": "dora1nv4l3pauedvt3qd6388svga0t7xt2gjp5ufvdh", "height": 17250402, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgRecvPacket", "/ibc.core.channel.v1.MsgAcknowledgement", "/ibc.core.channel.v1.MsgTimeout"], "tx_hash": "97382B8F0EC72C28D509E0B101F57878A9057CA90BF32E060E7AC212C7E85346"}
2026-09-11T14:45:19.133442Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-rehearsal-20260911", "packet_src_channel": "channel-18", "packet_dst_channel": "channel-0", "gas_used": 179956, "fees": "2396970000000000peaka", "fee_payer": "dora1nv4l3pauedvt3qd6388svga0t7xt2gjp5ufvdh", "height": 17250402, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgAcknowledgement", "/ibc.core.channel.v1.MsgAcknowledgement"], "tx_hash": "533699C5B62EB8D753FD66A824FF31103623ECE35D116818B08A206D50921E44"}
2026-09-11T14:45:21.926350Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-peer-1", "packet_src_channel": "channel-0", "packet_dst_channel": "channel-18", "gas_used": 147250, "fees": "1907100000000000peaka", "fee_payer": "dora1hdzrazpjr77t54mktypmersfmt0sa4gymtnnlc", "height": 1248, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgAcknowledgement"], "tx_hash": "BA96649ABDCC57E1AC1F28E746F804B978D787E288F4D6FF8A0F73C37A326E10"}
2026-09-11T14:45:26.828673Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-rehearsal-20260911", "packet_src_channel": "channel-0", "packet_dst_channel": "channel-18", "gas_used": 163679, "fees": "2153530000000000peaka", "fee_payer": "dora1nv4l3pauedvt3qd6388svga0t7xt2gjp5ufvdh", "height": 17250405, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgRecvPacket"], "tx_hash": "3B33ED9B4FC01A679324DA176B971E59F3B95445A0861963BB73F59B9B5D6B4F"}
2026-09-11T14:45:31.450624Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-peer-1", "packet_src_channel": "channel-0", "packet_dst_channel": "channel-18", "gas_used": 148070, "fees": "1919400000000000peaka", "fee_payer": "dora1hdzrazpjr77t54mktypmersfmt0sa4gymtnnlc", "height": 1256, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgAcknowledgement"], "tx_hash": "13374C2D67ED6E79EEB38C5F474798E468CE8096D3DEB9610E3280F22AB35C16"}
2026-09-11T14:45:33.734441Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-peer-1", "packet_src_channel": "channel-18", "packet_dst_channel": "channel-0", "gas_used": 175106, "fees": "2324940000000000peaka", "fee_payer": "dora1hdzrazpjr77t54mktypmersfmt0sa4gymtnnlc", "height": 1258, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgRecvPacket"], "tx_hash": "1EBBEA73E5CE37DF19F17C7C953CAA46D183AD8958A7819BB4A6F2664843F4AF"}
2026-09-11T14:45:36.824269Z	info	Successful transaction	{"provider_type": "cosmos", "chain_id": "vota-inflight-rehearsal-20260911", "packet_src_channel": "channel-18", "packet_dst_channel": "channel-0", "gas_used": 133205, "fees": "1696420000000000peaka", "fee_payer": "dora1nv4l3pauedvt3qd6388svga0t7xt2gjp5ufvdh", "height": 17250409, "msg_types": ["/ibc.core.client.v1.MsgUpdateClient", "/ibc.core.channel.v1.MsgAcknowledgement"], "tx_hash": "E87AB7D988F0521BE682691FA72DBFE7DF138451F7D8C351C015D7CDCA32696B"}
